-- MINER

['stones'] 			 		 = {['name'] = 'stones', 					['label'] = 'Stones', 				['weight'] = 10, 		['type'] = 'item', 		['image'] = 'stones.png', 			['unique'] = false, 		['useable'] = false, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = 'A simple stones'},
['cleanstones'] 			 = {['name'] = 'cleanstones', 				['label'] = 'Clean Stones',			['weight'] = 10, 		['type'] = 'item', 		['image'] = 'cleanstones.png',		['unique'] = false, 		['useable'] = false, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = 'A clean stones'},
['topaz'] 			 		 = {['name'] = 'topaz', 					['label'] = 'Topaz', 				['weight'] = 10, 		['type'] = 'item', 		['image'] = 'topaz.png', 			['unique'] = false, 		['useable'] = false, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = 'Topaz'},
['pickaxe'] 		 		 = {['name'] = 'pickaxe', 					['label'] = 'Pickaxe', 				['weight'] = 10, 		['type'] = 'item', 		['image'] = 'pickaxe.png', 			['unique'] = false, 		['useable'] = false, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = 'Pickaxe'},

-- LUMBERJACK

['wood'] 			 		 = {['name'] = 'wood', 						['label'] = 'Wood', 				['weight'] = 10, 		['type'] = 'item', 		['image'] = 'wood.png', 			['unique'] = false, 		['useable'] = false, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = 'Wood'},
['processedwood'] 			 = {['name'] = 'processedwood', 			['label'] = 'Processed Wood', 		['weight'] = 10, 		['type'] = 'item', 		['image'] = 'wood.png', 			['unique'] = false, 		['useable'] = false, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = 'Processed Wood'},
['woodenplanks'] 			 = {['name'] = 'woodenplanks', 				['label'] = 'Wooden Planks', 		['weight'] = 10, 		['type'] = 'item', 		['image'] = 'woodenplanks.png', 	['unique'] = false, 		['useable'] = false, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = 'Wooden Planks'},
['axe']      		 		 = {['name'] = 'axe', 						['label'] = 'Axe', 				    ['weight'] = 10, 		['type'] = 'item', 		['image'] = 'axe.png', 			    ['unique'] = false, 		['useable'] = false, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = 'Axe'},
